timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17887057,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,-0.04,2.02,0.05,0.00,-0.00
17887067,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.03,-0.14,0.05,-0.00,0.00
17887077,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.03,-0.14,0.05,-0.00,0.00
17887087,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.01,-0.25,0.05,-0.00,0.00
17887097,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.03,-0.26,0.05,-0.00,0.00
17887107,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,-0.05,1.88,0.05,-0.00,0.00
17887117,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.00,-0.31,0.05,0.00,0.00
17887127,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.00,-0.31,0.05,0.00,0.00
17887137,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.04,-0.30,0.05,0.00,0.00
17887147,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.02,-0.32,0.05,0.00,0.00
17887157,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.07,1.88,0.06,-0.00,0.00
17887167,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,0.03,-0.26,0.06,-0.00,0.00
17887177,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,0.03,-0.26,0.06,-0.00,0.00
17887187,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.06,0.07,-0.30,0.05,-0.00,0.00
17887197,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.02,-0.27,0.05,-0.00,0.00
17887207,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.04,1.88,0.06,-0.00,0.00
17887217,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.03,-0.40,0.06,-0.00,-0.00
17887227,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.03,-0.40,0.06,-0.00,-0.00
17887237,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.04,-0.39,0.05,-0.00,0.00
17887247,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.00,-0.30,0.05,0.00,0.00
17887257,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.03,1.80,0.06,0.00,0.00
17887267,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,-0.03,-0.40,0.05,0.00,0.00
17887277,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,-0.03,-0.40,0.05,0.00,0.00
17887287,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,-0.02,-0.28,0.05,-0.00,0.00
17887297,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,-0.03,-0.32,0.05,0.00,0.00
17887307,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,0.04,1.81,0.06,-0.00,-0.00
17887317,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.05,-0.34,0.06,-0.00,0.00
17887327,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.05,-0.34,0.06,-0.00,0.00
17887337,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.02,-0.43,0.05,-0.00,0.00
17887347,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,0.06,-0.33,0.05,-0.00,0.00
17887357,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.06,0.06,1.81,0.06,0.00,0.00
17887367,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.06,-0.43,0.06,0.00,0.00
17887377,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.06,-0.43,0.06,0.00,0.00
17887387,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,0.04,-0.33,0.05,0.00,0.00
17887397,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.05,-0.42,0.05,-0.00,-0.00
17887407,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.03,1.81,0.06,0.00,0.00
17887417,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.03,-0.36,0.05,-0.00,0.00
17887427,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.03,-0.36,0.05,-0.00,0.00
17887437,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.01,-0.42,0.05,0.00,0.00
17887447,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.06,-0.31,0.05,0.00,0.00
17887457,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.06,-0.31,0.05,0.00,0.00
17887467,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,-0.01,-0.44,0.05,-0.00,0.00
17887477,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,-0.01,-0.44,0.05,-0.00,0.00
17887487,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,0.02,-0.39,0.06,0.00,0.00
17887497,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,0.07,-0.38,0.05,-0.00,0.00
17887507,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,0.07,-0.38,0.05,-0.00,0.00
17887517,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.08,0.09,-0.31,0.06,0.00,0.00
17887527,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.08,0.09,-0.31,0.06,0.00,0.00
17887537,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,-0.01,-0.45,0.06,-0.00,0.00
17887547,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.08,-0.00,-0.40,0.05,-0.00,0.00
17887557,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,-0.01,-0.35,0.05,-0.00,0.00
17887567,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,0.00,-0.36,0.05,0.00,0.00
17887577,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.04,-0.38,0.05,-0.00,-0.00
17887587,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.02,-0.25,0.05,0.00,0.00
17887597,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.00,-0.34,0.05,-0.00,0.00
17887607,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.02,-0.36,0.05,0.00,0.00
17887617,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,0.04,-0.28,0.04,0.00,-0.00
